Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Tyyppi;Valmistusmaa;Vuosikerta;Alkoholi-%;Energia kcal/100 ml
291416;Silver Toffee muovipullo;Pramia;0,5 l;10.16;19.92;Liköörit ja Katkerot;Suomi;;21.0;230.0
925236;Smakbyns Appleaud;Smakbyns Bränneri;0,5 l;66.13;132.26;Liköörit ja Katkerot;Suomi;;20.5;200.0
912246;Smakbyns Päråla;Smakbyns Bränneri;0,5 l;66.13;132.26;Liköörit ja Katkerot;Suomi;;20.5;200.0
947696;Smakbyns Röd Granit;Smakbyns Bränneri;0,5 l;66.6;133.2;Liköörit ja Katkerot;Suomi;;22.0;230.0
939986;Smakbyns Ål-Meister Bongo;Smakbyns Bränneri;0,5 l;72.53;145.06;Liköörit ja Katkerot;Suomi;;41.0;280.0
290134;Suomi Shotti Inkivääri-Lakritsi muovipullo;Pernod Ricard Finland;0,35 l;7.98;22.51;Liköörit ja Katkerot;Suomi;;18.0;200.0
198974;Tapio Tervas muovipullo;Pernod Ricard Finland;0,35 l;10.78;30.51;Liköörit ja Katkerot;Suomi;;30.0;240.0
956144;Tervapontikka;Ollinmäen Viinitila;0,35 l;10.76;30.74;Liköörit ja Katkerot;Suomi;;21.0;200.0
279486;The Ufo Shot Original muovipullo;Shaman Spirits;0,5 l;13.35;26.7;Liköörit ja Katkerot;Suomi;;20.0;190.0
231164;Toffee muovipullo;Lignell & Piispanen;0,35 l;7.09;19.97;Liköörit ja Katkerot;Suomi;;18.0;190.0
2928;Tyryn Tietäjä;Tyryn Viini;0,5 l;13.92;27.84;Liköörit ja Katkerot;Suomi;;20.0;240.0
236807;Ural Mocca muovipullo;Altia;0,7 l;12.98;18.26;Liköörit ja Katkerot;Suomi;;18.0;170.0
953272;Valamo Menthe;Valamon Viiniherman Oy;0,5 l;49.01;98.02;Liköörit ja Katkerot;Suomi;;50.0;380.0
927574;Valamon Kultahunaja Munkkilikööri;Valamon Viiniherman;0,35 l;14.46;41.03;Liköörit ja Katkerot;Suomi;;20.0;230.0
148781;Valhalla;Altia Oyj;0,04 l;2.78;69.5;Liköörit ja Katkerot;Suomi;;35.0;250.0
942893;Valhalla;Altia;0,2 l;9.69;48.45;Liköörit ja Katkerot;Suomi;;35.0;250.0
181936;Valhalla muovipullo;Altia;0,5 l;19.39;38.38;Liköörit ja Katkerot;Suomi;;35.0;250.0
925951;Valhalla muovipullo;Altia;0,04 l;2.78;69.5;Liköörit ja Katkerot;Suomi;;35.0;250.0
286226;Valkia Punaiset marjat;Pernod Ricard Finland;0,5 l;9.98;19.56;Liköörit ja Katkerot;Suomi;;15.0;180.0
263906;Vallaton Päärynäkermalikööri muovipullo;Pramia;0,5 l;10.98;21.56;Liköörit ja Katkerot;Suomi;;15.0;250.0
210136;Verla Organic Omena;Viiniverla;0,5 l;24.09;48.18;Liköörit ja Katkerot;Suomi;;22.0;200.0
952346;Viikate Tervaskanto;Shaman Spirits;0,5 l;13.4;26.8;Liköörit ja Katkerot;Suomi;;21.0;180.0
272546;Vilma Verigreippi muovipullo;Lignell & Piispanen;0,5 l;8.49;16.58;Liköörit ja Katkerot;Suomi;;15.0;150.0
940646;Virvatuli Pihlajanmarjalikööri;Ranua-Revontuli;0,5 l;24.37;48.74;Liköörit ja Katkerot;Suomi;;22.0;280.0
273366;Xanté Coconut Cream & Pear;Altia Oyj;0,5 l;14.98;29.76;Liköörit ja Katkerot;Suomi;;17.0;210.0
228726;Xanté Sour & Pear;Altia Oyj;0,5 l;11.98;23.76;Liköörit ja Katkerot;Suomi;;15.0;180.0
130946;Zalmiakki Salmiakki Shotti muovipullo;Lignell & Piispanen;0,5 l;13.98;27.56;Liköörit ja Katkerot;Suomi;;30.0;250.0
957816;Šamaani Salmari;Shaman Spirits;0,5 l;12.89;25.58;Liköörit ja Katkerot;Suomi;;21.0;180.0
2083;Šamaani Salmari;Shaman Spirits;0,2 l;5.39;26.45;Liköörit ja Katkerot;Suomi;;21.0;180.0
2302;Gammel Dansk;De Danske Spritfabrikker;0,35 l;16.2;46.0;Liköörit ja Katkerot;Tanska;;38.0;220.0
951921;Gammel Dansk muovipullo;De Danske Spritfabrikker;0,03 l;2.8;93.33;Liköörit ja Katkerot;Tanska;;38.0;210.0
163306;Gammel Dansk muovipullo;Arcus AS;0,5 l;22.29;44.58;Liköörit ja Katkerot;Tanska;;38.0;210.0
282097;Glitter Fisk Gold;United Drinks;0,7 l;19.99;28.41;Liköörit ja Katkerot;Tanska;;15.0;180.0
164914;Heering Cherry;Peter Heering;0,35 l;15.18;43.09;Liköörit ja Katkerot;Tanska;;24.0;250.0
908545;Original Dr. Nielsen's Bitter;Johs. M. Klein Distribution A/S;0,7 l;24.9;35.57;Liköörit ja Katkerot;Tanska;;38.0;220.0
920206;Pure Lakrids;Pure Shots;0,7 l;18.19;25.84;Liköörit ja Katkerot;Tanska;;16.4;240.0
932814;Råstoff Pure Liquorice;Spritfabrikken Danmark;0,7 l;21.79;31.13;Liköörit ja Katkerot;Tanska;;16.4;230.0
910008;Små Gronne Granatable Lakrids Shot muovipullo;Spritfabrikken Denmark A/S;0,5 l;12.85;25.7;Liköörit ja Katkerot;Tanska;;16.4;250.0
952914;Små Rode Rasberry Liquorice;Spritfabrikken Denmark A/S;0,7 l;16.8;24.0;Liköörit ja Katkerot;Tanska;;16.4;250.0
